"";"time1R";"time2R";"time1ACS";"time2ACS";"time1KAST";"time2KAST";"time1KD";"time2KD";"time1ADR";"time2ADR";"ganhador"
"1";0,942;0,878;199;189,6;68,6;66,8;0,934;0,858;128,2;124,66;0
"2";0,966;0,898;193;187,06;69,2;68,4;0,934;0,864;125,3;124,1;1
"3";0,956;1,042;207,96;210,54;69;73,2;0,964;1,048;136,14;135,78;0
"4";1,032;1,028;217,18;205,48;69,4;71,2;1,064;1,048;140,64;131,98;0
"5";1,062;0,948;216,98;199,68;72,6;68,6;1,102;0,934;137;128,62;1
"6";1,034;0,85;209,38;186,78;71,4;66;1,05;0,832;135,36;123,56;1
"7";1,004;0,998;200,94;205,62;70,2;70;1,012;0,992;129,44;133,28;0
"8";0,954;0,996;202,96;201,46;69,4;70,2;0,964;0,992;133,52;129,72;1
"9";1,008;0,984;207,24;197,34;71,2;70,2;1,012;0,96;134,3;129,56;0
"10";1,054;0,96;210,16;187,1;72,2;70,4;1,046;0,932;137,26;123,86;1
"11";1,028;0,968;209,72;197,54;71,6;70,2;1,06;0,958;136,78;129,84;1
"12";0,992;0,906;202,48;195,02;69,8;66,6;0,98;0,89;131,12;127,7;1
"13";0,962;1,034;198,3;214,58;68,2;70,2;0,966;1,064;129,76;137,7;0
"14";0,968;0,838;197,54;181,28;70,2;64,8;0,958;0,794;129,84;119,12;1
"15";0,858;1,038;193,28;225,4;65,4;70;0,852;1,076;128,76;145,06;0
"16";0,906;1,084;193,78;232,42;66,2;71,8;0,892;1,134;127,44;150,16;0
"17";0,926;0,958;191,28;198,36;67,2;68,4;0,9;0,962;125,5;128,74;0
"18";1,05;0,942;215,54;199;71,6;68,6;1,084;0,934;138,12;128,2;1
"19";0,896;0,968;190,02;197,02;68,4;68,2;0,882;0,964;127;128,76;0
"20";0,888;0,89;188,96;185,64;65,8;66,4;0,88;0,89;124,78;122,6;0
"21";0,888;1,044;189,1;220,9;67,4;70,8;0,862;1,054;123,88;143,06;0
"22";0,998;1,044;221,56;220,9;69,8;70,8;1,058;1,054;142,96;143,06;0
"23";0,858;0,896;186,92;190,02;65,8;68,4;0,866;0,882;120,8;127;0
"24";0,98;1,058;203,86;208,38;68;74,2;0,978;1,08;132,12;136,16;0
"25";1,034;1,104;214,6;232,3;71,8;73,6;1,088;1,144;138,94;149,46;0
"26";1,008;1,056;202,98;213,38;70,8;71,4;1,002;1,084;130,76;138,88;0
"27";0,914;1,044;194,16;220,9;66,6;70,8;0,888;1,054;126,74;143,06;0
"28";1,046;0,98;211,06;203,86;71,8;68;1,076;0,978;136,9;132,12;0
"29";0,87;0,888;188,62;189,1;64,2;67,4;0,858;0,862;123,6;123,88;0
"30";1,046;1,058;211,06;208,38;71,8;74,2;1,076;1,08;136,9;136,16;0
"31";1,038;1,028;208,86;205,48;70,6;71,2;1,068;1,048;136,06;131,98;0
"32";1,056;1,046;213,38;211,06;71,4;71,8;1,084;1,076;138,88;136,9;0
"33";0,748;0,896;168,42;190,02;62,2;68,4;0,678;0,882;113,5;127;0
"34";0,946;0,996;195,36;201,46;68,4;70,2;0,944;0,992;127,76;129,72;0
"35";1,05;0,942;215,54;199;71,6;68,6;1,084;0,934;138,12;128,2;0
