"";"V1";"V2"
"1";"Global Esports 45.86%  ";"DRX 54.14%  "
"2";"FTW Esports 61.73%  ";"Panthers Esports 38.27%  "
"3";"EX0TIK GAMING 2.73%  ";"GTZ Esports 97.27%  "
"4";"Les Petits Bouffons 58.3%  ";"who cars? 41.7%  "
"5";"Axolotl 13.28%  ";"HMBLE 86.72%  "
"6";"SAW 62.33%  ";"EGN Esports 37.67%  "
"7";"Ovation eSports 13.58%  ";"MOUZ 86.42%  "
"8";"Fire Flux Esports 54.23%  ";"Papara SuperMassive 45.77%  "
"9";"Outplayed 3.09%  ";"DSYRE 96.91%  "
"10";"VIKINGS Fourteen 65.16%  ";"Impulse GW 34.84%  "
"11";"Leviatán 38.34%  ";"NRG Esports 61.66%  "
"12";"GMT Esports 97.65%  ";"Macko Esports 2.35%  "
"13";"ALTERNATE aTTaX 19%  ";"Unicorns of Love 81%  "
"14";"FOKUS 95.57%  ";"Coalesce 4.43%  "
